trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,0,20.747662684099335,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,8,-8.15352797018814,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,10,12.711989561895813,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,12,-20.190254853604323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,5,-40.51222711532101,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",30,0,4.94455487106552,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,9,22.693819697913256,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,15,22.44082976362528,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,27.32934454390132,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,7,34.838734215388286,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,2,37.52122638674481,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,11.051072527790149,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,25.201410824169226,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,19.670157668644425,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,12,25.094240208634854,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,9,32.78570832537203,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
